################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7428116033831551E-01 a       235     0    10     1    10
 -1.1532328896016088E-01 a       236     0    10     1    11
 -2.7142967245606675E-01 a       237     0    10     1    12
 -2.9083284816508065E-01 a       238     0    10     1    13
  8.9792900185406158E-02 a       239     0    10     1    14
 -1.9540052392979582E-03 a       240     0    10     1    15
  3.9789262861727087E-01 a       241     0    10     1    16
 -7.7012367360473333E-01 a       242     0    10     1    17
  7.8140888064743133E-02 a       243     0    10     1    18
 -3.8785175231341798E-03 a       244     0    10     1    19
 -2.9297904736480490E-01 a       245     0    10     1    20
  1.3637581718058439E-01 a       246     0    10     1    21
 -1.7449195482391425E-01 a       247     0    10     1    22
 -6.0803865163406828E-02 a       248     0    10     1    23
  1.4754738187240948E-01 a       249     0    10     1    24
  7.9908653976314720E-02 a       250     0    10     1    25
  1.3756191341276236E-01 a       251     0    11     1     1
  8.0445226864014230E-01 a       252     0    11     1     2
  4.5657529957942838E-01 a       253     0    11     1     3
 -1.3364228198610320E-02 a       254     0    11     1     4
  4.0740394077247888E-01 a       255     0    11     1     5
 -1.6953624823141744E-01 a       256     0    11     1     6
 -6.5936947301584292E-01 a       257     0    11     1     7
 -1.3122762846789608E+00 a       258     0    11     1     8
 -6.0537454666587678E-02 a       259     0    11     1     9
  1.3074562680164686E-01 a       260     0    11     1    10
  2.2823984226705632E-01 a       261     0    11     1    11
 -5.5499708029358975E-02 a       262     0    11     1    12
  2.5454742640474348E-01 a       263     0    11     1    13
  3.1411082338725427E-01 a       264     0    11     1    14
 -3.4177171959597308E-01 a       265     0    11     1    15
 -7.4886252557460231E-02 a       266     0    11     1    16
  3.5982521674076112E-01 a       267     0    11     1    17
  3.6389691961857124E-01 a       268     0    11     1    18
 -2.4622245862127020E-02 a       269     0    11     1    19
 -1.0308522458760174E+00 a       270     0    11     1    20
  3.9013011955853921E-01 a       271     0    11     1    21
  9.6900910025751047E-02 a       272     0    11     1    22
  6.6880013166702348E-02 a       273     0    11     1    23
  6.5200769356758850E-02 a       274     0    11     1    24
  7.2390726768591679E-02 a       275     0    11     1    25
 -1.6949316325749339E-01 a       276     0    12     1     1
 -3.1082892324552786E-01 a       277     0    12     1     2
 -2.6983555297963330E-01 a       278     0    12     1     3
  2.3911114901135985E-01 a       279     0    12     1     4
  4.3767096320310672E-02 a       280     0    12     1     5
  4.1400166109541378E-02 a       281     0    12     1     6
 -1.9549028389657394E-01 a       282     0    12     1     7
 -2.2102375259830012E-02 a       283     0    12     1     8
  8.1101352546132047E-03 a       284     0    12     1     9
  1.7471801493656863E-01 a       285     0    12     1    10
  3.1914049765465649E-02 a       286     0    12     1    11
  9.6197912398442276E-02 a       287     0    12     1    12
 -1.7284922629529303E-01 a       288     0    12     1    13
 -3.0118672201584984E-02 a       289     0    12     1    14
  3.8024880409891722E-02 a       290     0    12     1    15
 -9.8902287745549919E-02 a       291     0    12     1    16
  2.5471814084245048E-01 a       292     0    12     1    17
 -2.3458903000741434E-02 a       293     0    12     1    18
 -1.3771863424503802E-01 a       294     0    12     1    19
  1.7120757267015757E-01 a       295     0    12     1    20
 -1.8026183214155952E-01 a       296     0    12     1    21
 -2.0299286413195131E-02 a       297     0    12     1    22
  2.0152633535004703E-02 a       298     0    12     1    23
  1.2990996433373581E-01 a       299     0    12     1    24
  3.5233036374988974E-01 a       300     0    12     1    25
 -1.2371649109794933E-01 a       301     0    13     1     1
 -2.2850576760018979E-01 a       302     0    13     1     2
  1.2711385947565712E-01 a       303     0    13     1     3
 -2.9332580342409542E-02 a       304     0    13     1     4
  5.5893563826857853E-02 a       305     0    13     1     5
  6.0914145237014973E-02 a       306     0    13     1     6
 -1.0129503633656281E-01 a       307     0    13     1     7
  5.0121590336920352E-01 a       308     0    13     1     8
 -1.6544112458033636E-01 a       309     0    13     1     9
  1.8315817938503180E-02 a       310     0    13     1    10
  2.0057816814629995E-01 a       311     0    13     1    11
  1.2148188700973081E-01 a       312     0    13     1    12
  1.7161320461421461E-02 a       313     0    13     1    13
  2.8846901491032931E-02 a       314     0    13     1    14
 -3.8414883299701369E-01 a       315     0    13     1    15
 -8.3479606497405642E-02 a       316     0    13     1    16
 -1.6616883479419992E-01 a       317     0    13     1    17
