id,spacegroup,density,energy,minimization_step,trial_number,minimization_time,metadata
ttbi-QR-15-21752-3,15,0.8946,-155.6318,3,21752,13.93929934501648,
ttbi-QR-148-20425-3,148,1.3372,-155.6212,3,20425,72.51624941825867,
ttbi-QR-96-13559-3,96,1.2413,-155.6198,3,13559,123.68563175201416,
ttbi-QR-148-6211-3,148,1.1831,-155.6112,3,6211,98.51955914497375,
ttbi-QR-15-21431-3,15,0.9422,-155.5957,3,21431,36.686365365982056,
ttbi-QR-76-4529-3,76,1.0789,-155.5841,3,4529,12.240089893341064,
ttbi-QR-56-15521-3,56,1.2033,-155.5785,3,15521,35.595184326171875,
ttbi-QR-19-4129-3,19,1.2858,-155.551,3,4129,18.646580934524536,
ttbi-QR-13-21257-3,13,0.9999,-155.5502,3,21257,15.45400595664978,
ttbi-QR-14-14093-3,14,1.0247,-155.5392,3,14093,24.6503586769104,
ttbi-QR-88-32629-3,88,1.0511,-155.527,3,32629,29.42566990852356,
ttbi-QR-19-6913-3,19,1.0046,-155.5243,3,6913,37.604554176330566,
ttbi-QR-43-13834-3,43,1.089,-155.5113,3,13834,33.2228889465332,
ttbi-QR-15-12510-3,15,1.2638,-155.51,3,12510,17.493855237960815,
ttbi-QR-15-3191-3,15,1.2629,-155.5033,3,3191,19.41081738471985,
ttbi-QR-2-16147-3,2,1.0662,-155.4953,3,16147,8.829912900924683,
ttbi-QR-14-8786-3,14,0.7615,-155.4772,3,8786,10.093290567398071,
ttbi-QR-60-8081-3,60,0.9989,-155.4587,3,8081,31.684340953826904,
ttbi-QR-14-11805-3,14,1.1296,-155.4254,3,11805,17.251997709274292,
ttbi-QR-61-11463-3,61,0.7628,-155.4176,3,11463,42.770500898361206,
ttbi-QR-29-11503-3,29,1.0435,-155.3956,3,11503,15.573397874832153,
ttbi-QR-15-7834-3,15,1.0675,-155.3903,3,7834,16.32937717437744,
ttbi-QR-15-3859-3,15,1.1832,-155.3816,3,3859,19.05254316329956,
ttbi-QR-61-6832-3,61,1.12,-155.3679,3,6832,33.639591693878174,
ttbi-QR-60-14695-3,60,1.0984,-155.3646,3,14695,29.629194736480713,
ttbi-QR-15-1928-3,15,1.0869,-155.3318,3,1928,18.80146074295044,
ttbi-QR-43-4062-3,43,1.1204,-155.3316,3,4062,20.739664554595947,
ttbi-QR-56-7944-3,56,1.1394,-155.3169,3,7944,34.590577363967896,
ttbi-QR-88-24109-3,88,1.283,-155.316,3,24109,38.64187431335449,
ttbi-QR-13-22261-3,13,1.13,-155.2976,3,22261,18.38045310974121,
ttbi-QR-15-154-3,15,1.2366,-155.2855,3,154,26.269258975982666,
ttbi-QR-43-12709-3,43,1.024,-155.285,3,12709,15.71619987487793,
ttbi-QR-43-2229-3,43,1.1493,-155.2791,3,2229,58.561094760894775,
ttbi-QR-15-16941-3,15,0.9966,-155.2773,3,16941,30.584657907485962,
ttbi-QR-14-5065-3,14,1.2254,-155.2563,3,5065,17.68440866470337,
ttbi-QR-60-18962-3,60,1.2332,-155.2491,3,18962,39.78523111343384,
ttbi-QR-15-6695-3,15,0.8818,-155.2424,3,6695,12.744852542877197,
ttbi-QR-18-19113-3,18,1.2596,-155.2352,3,19113,18.967189073562622,
ttbi-QR-96-11264-3,96,1.1202,-155.1871,3,11264,27.38481903076172,
ttbi-QR-14-2900-3,14,1.1271,-155.1815,3,2900,18.294405221939087,
ttbi-QR-14-14506-3,14,1.0429,-155.1785,3,14506,18.376739025115967,
ttbi-QR-61-225-3,61,0.9997,-155.1752,3,225,28.538928270339966,
ttbi-QR-14-2802-3,14,1.0403,-155.1742,3,2802,15.645604848861694,
ttbi-QR-14-6354-3,14,0.9103,-155.151,3,6354,15.684164047241211,
ttbi-QR-15-3882-3,15,1.0551,-155.1427,3,3882,18.026796579360962,
ttbi-QR-15-17870-3,15,1.012,-155.1268,3,17870,16.795779705047607,
ttbi-QR-15-21705-3,15,0.9462,-155.1003,3,21705,15.175883293151855,
ttbi-QR-15-17639-3,15,0.8001,-155.0867,3,17639,13.581773519515991,
ttbi-QR-43-5806-3,43,1.1279,-155.0856,3,5806,19.227487564086914,
ttbi-QR-96-4210-3,96,1.2252,-155.0841,3,4210,31.441627502441406,
ttbi-QR-61-7194-3,61,0.9744,-155.0804,3,7194,27.999016761779785,
ttbi-QR-33-2719-3,33,1.0217,-155.0667,3,2719,20.23035979270935,
ttbi-QR-15-1406-3,15,1.026,-155.0619,3,1406,16.71290159225464,
ttbi-QR-14-4724-3,14,1.1397,-155.0584,3,4724,15.29212999343872,
ttbi-QR-13-20285-3,13,1.1209,-155.0462,3,20285,21.60598611831665,
ttbi-QR-61-17207-3,61,1.2591,-155.0375,3,17207,36.02065920829773,
ttbi-QR-15-11729-3,15,0.9836,-155.0178,3,11729,15.77391767501831,
ttbi-QR-88-9122-3,88,1.1459,-155.008,3,9122,30.945841073989868,
ttbi-QR-15-12522-3,15,1.1613,-155.0044,3,12522,19.14903712272644,
ttbi-QR-60-17820-3,60,0.9786,-154.9807,3,17820,29.944021463394165,
ttbi-QR-2-15568-3,2,0.8475,-154.979,3,15568,14.017996072769165,
ttbi-QR-15-14068-3,15,1.1116,-154.9469,3,14068,16.65145993232727,
ttbi-QR-86-27576-3,86,1.1176,-154.9372,3,27576,44.276220083236694,
