id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5126,1,1.7605,-82.7368,-91.44606225,4.4693,9.949143751,-8.709262246,5.479843751
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5136,1,1.7608,-83.0396,-91.76269687,4.1665,9.632509123,-8.723096873,5.466009123
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5138,1,1.7608,-82.2498,-90.84879672,4.9563,10.54640927,-8.598996724,5.590109272
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5155,1,1.74,-82.4863,-91.74897136,4.7198,9.646234641,-9.262671356,4.926434641
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5251,1,1.7857,-82.2611,-91.06627654,4.945,10.32892946,-8.805176537,5.38392946
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5270,1,1.7141,-83.1903,-92.25902429,4.0158,9.136181706,-9.06872429,5.120381706
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5277,1,1.7289,-82.9455,-91.85099227,4.2606,9.54421373,-8.905492267,5.28361373
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5317,1,1.7359,-83.3126,-93.48267605,3.8935,7.912529951,-10.17007605,4.019029951
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5320,1,1.7359,-83.199,-94.18210721,4.0071,7.21309879,-10.98310721,3.20599879
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5421,1,1.704,-82.1185,-93.14242206,5.0876,8.25278394,-11.02392206,3.16518394
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5476,1,1.6983,-82.3008,-92.64556469,4.9053,8.749641303,-10.34476469,3.844341303
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5513,1,1.6986,-82.3854,-93.44381442,4.8207,7.951391579,-11.05841442,3.130691579
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5552,1,1.6841,-81.7213,-91.05716398,5.4848,10.33804201,-9.335863982,4.853242014
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5570,1,1.6856,-81.7063,-90.54404402,5.4998,10.85116198,-8.837744021,5.351361976
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5596,1,1.7755,-83.0008,-92.92339824,4.2053,8.471807759,-9.922598238,4.266507759
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5644,1,1.7302,-82.5845,-92.0205623,4.6216,9.374643697,-9.4360623,4.753043697
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-5680,1,1.7195,-81.762,-91.52010025,5.4441,9.87510575,-9.758100247,4.43100575
