id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5227,1,1.9437,-90.696,-98.11625172,4.0597,-0.01047734,-7.420251719,-4.07017734
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5254,1,1.9219,-90.3113,-99.31855948,4.4444,-1.212785098,-9.007259477,-5.657185098
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5293,1,1.8276,-91.039,-95.43943571,3.7167,2.666338668,-4.400435712,-1.050361332
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5338,1,1.8151,-90.3655,-100.1587502,4.3902,-2.052975779,-9.793250158,-6.443175779
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5536,1,1.8605,-90.2098,-94.33325771,4.5459,3.772516667,-4.123457712,-0.773383333
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5572,1,1.8947,-89.6803,-93.46839188,5.0754,4.6373825,-3.788091879,-0.4380175
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5585,1,1.8359,-90.2643,-96.81188277,4.4914,1.293891612,-6.547582767,-3.197508388
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5586,1,1.8348,-90.21,-96.7018736,4.5457,1.403900783,-6.491873596,-3.141799217
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5683,1,1.8201,-89.9046,-94.85639864,4.8511,3.249375742,-4.951798637,-1.601724258
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5717,1,1.8343,-89.6927,-93.00768467,5.063,5.098089713,-3.314984667,0.035089713
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5722,1,1.865,-90.3081,-93.36732207,4.4476,4.738452307,-3.059222072,0.290852307
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5750,1,1.9193,-89.8171,-91.9506283,4.9386,6.155146077,-2.133528302,1.216546077
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5793,1,1.8479,-89.9349,-96.59783108,4.8208,1.507943302,-6.662931077,-3.312856698
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5802,1,1.9093,-90.09,-96.98836404,4.6657,1.117410337,-6.898364043,-3.548289663
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5812,1,1.9359,-89.9025,-95.4761614,4.8532,2.629612983,-5.573661397,-2.223587017
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5816,1,1.9359,-89.597,-91.7128721,5.1587,6.392902278,-2.115872102,1.234202278
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5862,1,1.9294,-90.2152,-93.12865891,4.5405,4.977115469,-2.91345891,0.436615469
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5899,1,1.9048,-89.4713,-96.05821384,5.2844,2.047560541,-6.586913838,-3.236839459
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5938,1,1.8306,-89.4418,-97.95011656,5.3139,0.155657817,-8.508316562,-5.158242183
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-5944,1,1.8304,-89.4995,-97.29684446,5.2562,0.808929924,-7.797344456,-4.447270076
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6048,1,1.8225,-89.1994,-98.91887102,5.5563,-0.813096642,-9.719471021,-6.369396642
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6064,1,1.8493,-89.3016,-98.19201295,5.4541,-0.086238568,-8.890412947,-5.540338568
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6066,1,1.8493,-89.1743,-98.12240603,5.5814,-0.016631655,-8.948106034,-5.598031655
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6073,1,1.8486,-89.3077,-98.85336618,5.448,-0.747591801,-9.545666181,-6.195591801
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6075,1,1.8486,-88.9081,-97.26047094,5.8476,0.845303437,-8.352370942,-5.002296563
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6103,1,1.8202,-89.6414,-98.56429813,5.1143,-0.45852375,-8.922898129,-5.57282375
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6122,1,1.851,-89.3049,-94.77348447,5.4508,3.332289909,-5.468584471,-2.118510091
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6133,1,1.9096,-89.1452,-90.15110351,5.6105,7.954670873,-1.005903506,2.344170873
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6170,1,1.9335,-89.4584,-94.72726511,5.2973,3.378509265,-5.268865114,-1.918790735
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6186,1,1.8782,-89.9538,-91.21517435,4.8019,6.890600027,-1.261374352,2.088700027
oxalac_opt-QR-4-6815-3_P1-Thre-1-0-0-6211,1,1.8841,-88.851,-92.04183007,5.9047,6.063944305,-3.190830074,0.159244305
