################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         40   1.2305751891273408E+02   6.6460292590313634E+02   3.5995476380622625E+02   6.7515740089656106E+01
         1         41   5.6522702914378908E+02   2.3871639030699871E+03   1.3428013424855928E+03   2.3593683409019266E+02
         1         42   1.2939626533104706E+01   2.0948154101966725E+02   1.0413309683898017E+02   3.1232052620470292E+01
         1         43   3.9236607975811552E+02   1.3447312884622024E+03   7.9990041768716151E+02   1.2064657656307243E+02
         1         44   3.0784933831013170E+01   2.6765699447408798E+02   1.4263784176055694E+02   2.9697538306035433E+01
         1         45   5.3320956951273644E+01   3.3962445934873563E+02   1.8196979595483290E+02   3.4777292668729174E+01
         1         46   5.1419827719860507E+00   1.2781172888414113E+02   6.0079729667730994E+01   2.2066497430199149E+01
         1         47   1.2192077400983952E+02   3.3875160745349757E+02   2.1826330884874486E+02   2.7903154569242520E+01
         1         48   6.1306638702297398E+01   3.3984795296782579E+02   1.6803548296169052E+02   3.5401689077739320E+01
         1         49   1.3365092136263570E+02   4.0553621423055802E+02   2.4008781906466737E+02   3.5231666421687130E+01
         1         50   2.0605528997663485E+00   7.6999820527301097E+01   3.2940011612155736E+01   1.1516465006652165E+01
         1         51   8.9548700977763446E+01   2.5706372730191691E+02   1.4971329924314864E+02   2.1300121147790509E+01
         1         52   1.8764200059768212E+00   5.3509716988705321E+01   2.1511066600177859E+01   7.1906939525386679E+00
         1         53   4.0185100919530470E+01   9.6253084769991844E+01   6.2627034598068107E+01   7.0143554819236860E+00
         1         54   5.9548738146416418E-02   3.9184222302686393E+01   1.0649862283686028E+01   6.8639394674933252E+00
