################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         24   3.4264900883923510E+00   6.5026425548762843E+00   4.8600666712825635E+00   4.7514691880393228E-01
         1         25   1.7883139941448526E+01   2.1773126634580812E+01   1.9155841808885594E+01   5.9829899680756016E-01
         1         26   1.2670901172486682E+00   1.6693371125040029E+00   1.4324103821989156E+00   8.0153050911097645E-02
         1         27   6.7088489707729582E-01   8.8727758317402505E-01   7.5981935739869644E-01   3.8918836583310100E-02
         1         28   3.7632786429287384E+00   4.2945120942150199E+00   3.9952400219174238E+00   4.4416247822841683E-02
         1         29   1.3871880830742054E+00   1.5792159707973217E+00   1.4552750553618725E+00   2.5657650842575642E-02
         1         30   8.0469425205704589E-09   1.7185679323338112E-02   3.4648342557989319E-03   3.8269994328481161E-03
         1         31   7.8708019958051344E-05   5.8535183472810577E-04   1.8835260710714155E-04   9.3501555179078286E-05
         1         32   1.4779258791985909E-02   1.7363430916204594E-02   1.6313441118289081E-02   1.2792762962072062E-04
         1         33   3.4076948307689616E-06   5.5133104694441527E-06   3.7524420901835854E-06   3.3275797926890559E-07
         1         34   1.3322260907135354E-11   4.2065068849097561E-10   4.4996592232746695E-11   4.9697779948168422E-11
         1         35   1.8321163790828941E-21   7.6108966154124061E-16   2.7428370974242781E-17   6.7437290148971464E-17
         1         36   2.8369298308800809E-26   1.1301614954384051E-24   4.8838938622583026E-26   7.3754273555602966E-26
         1         37   6.5660726909669593E-34   1.6769151333463254E-33   1.4258411761868251E-33   3.7756074649521607E-35
         1         38   6.6507059261005327E+02   2.2189485330665902E+03   1.5102768709796342E+03   3.0142719031594731E+02
         1         39   1.7311067014785806E+03   5.3157453735892805E+03   3.6597603477243269E+03   6.9962765832612888E+02
         1         40   1.3697286700222497E+02   4.8488713904687779E+02   3.5559361749141624E+02   5.8254906587922882E+01
         1         41   7.9013270402933233E+02   1.8697171862292803E+03   1.3624613603044929E+03   2.0871025967046961E+02
         1         42   1.5198066972215150E+01   1.5904167699140979E+02   9.4571563690315358E+01   2.9189203171700910E+01
         1         43   5.1670086856012813E+02   1.0753264432929527E+03   8.1193635265689034E+02   1.0674171739121101E+02
